tail_num,aircraft_manufacturer,aircraft_model,engine,first_flight
N101DU,Airbus,A220,2 x PW PW1524G,06/10/2018
N102DU,Airbus,A220,2 x PW PW1524G,07/12/2018
N103DU,Airbus,A220,2 x PW PW1524G,22/11/2018
N104DU,Airbus,A220,2 x PW PW1524G,20/12/2018
N105DU,Airbus,A220,2 x PW PW1524G,03/02/2019
N106DU,Airbus,A220,2 x PW PW1524G,09/02/2019
N107DU,Airbus,A220,2 x PW PW1524G,12/02/2019
N108DQ,Airbus,A220,2 x PW PW1524G,12/04/2019
N109DU,Airbus,A220,2 x PW PW1524G,23/02/2019
N110DU,Airbus,A220,2 x PW PW1524G,16/03/2019
N111NG,Airbus,A220,2 x PW PW1524G,25/05/2019
N112DU,Airbus,A220,2 x PW PW1524G,05/04/2019
N113DQ,Airbus,A220,2 x PW PW1524G,05/05/2019
N114DU,Airbus,A220,2 x PW PW1524G,21/05/2019
N115DU,Airbus,A220,2 x PW PW1524G,08/06/2019
N116DU,Airbus,A220,2 x PW PW1524G,08/06/2019
N117DU,Airbus,A220,2 x PW PW1524G,13/06/2019
N118DU,Airbus,A220,2 x PW PW1524G,24/06/2019
N119DU,Airbus,A220,2 x PW PW1524G,01/07/2019
N120DU,Airbus,A220,2 x PW PW1524G,11/07/2019
N121DU,Airbus,A220,2 x PW PW1524G,Unknown
N122DU,Airbus,A220,2 x PW PW1524G,20/08/2019
N123DQ,Airbus,A220,2 x PW PW1524G,07/09/2019
N124DU,Airbus,A220,2 x PW PW1524G,15/09/2019
N125DU,Airbus,A220,2 x PW PW1524G,24/09/2019
N126DU,Airbus,A220,2 x PW PW1524G,03/10/2019
N127DU,Airbus,A220,2 x PW PW1524G,23/10/2019
N128DU,Airbus,A220,2 x PW PW1524G,10/11/2019
N129DU,Airbus,A220,2 x PW PW1524G,15/01/2020
N130DU,Airbus,A220,2 x PW PW1524G,17/02/2020
N131DU,Airbus,A220,2 x PW PW1524G,25/02/2020
N62846,Airbus,A300,2 x GE CF6-50C2R,07/03/1975
N62576,Airbus,A300,2 x GE CF6-50C2R,23/04/1975
N6373Q,Airbus,A300,2 x GE CF6-50C2,23/10/1975
N715PA,Airbus,A300,2 x GE CF6-50C2,12/02/1976
N124AN,Airbus,A300,2 x GE CF6-50C2,03/03/1976
N128AN,Airbus,A300,2 x GE CF6-50C2,16/04/1976
N130AN,Airbus,A300,2 x GE CF6-50C2,04/06/1976
N203EA,Airbus,A300,2 x GE CF6-50C2R,13/05/1977
N7208Q,Airbus,A300,2 x GE CF6-50C2R,17/11/1977
N501TR,Airbus,A300,2 x GE CF6-50C2,16/08/1977
N202AP,Airbus,A300,,19/12/1978
N470AS,Airbus,A300,2 x GE CF6-50C2,10/10/1979
N361DH,Airbus,A300,2 x GE CF6-50C2R,17/12/1978
N224KW,Airbus,A300,2 x GE CF6-50C2,12/07/1979
N62683,Airbus,A300,2 x GE CF6-50C2,09/05/1979
N362DH,Airbus,A300,2 x GE CF6-50C2R,08/06/1979
N363DH,Airbus,A300,2 x GE CF6-50C2R,03/07/1979
N540RD,Airbus,A300,2 x GE CF6-50C2R,28/10/1980
N16982,Airbus,A300,2 x GE CF6-50C2,26/09/1979
N13983,Airbus,A300,2 x GE CF6-50C2,17/10/1979
N510TA,Airbus,A300,2 x GE CF6-50C2,21/01/1980
N102NC,Airbus,A300,2 x GE CF6-50C2R,08/02/1980
N59106,Airbus,A300,2 x GE CF6-50C2,21/03/1980
N11984,Airbus,A300,2 x GE CF6-50C2,11/04/1980
N11985,Airbus,A300,2 x GE CF6-50C2,04/09/1980
N68142,Airbus,A300,2 x GE CF6-50C2,03/04/1981
N143EV,Airbus,A300,2 x GE CF6-50C2,08/04/1981
N365DH,Airbus,A300,2 x GE CF6-50C2,27/05/1981
N832JM,Airbus,A300,2 x GE CF6-50C2,22/06/1981
N158GE,Airbus,A300,2 x GE CF6-50C2,03/09/1981
N161GE,Airbus,A300,2 x GE CF6-50C2,24/09/1981
N740RD,Airbus,A300,2 x GE CF6-50C2R,15/12/1981
N188SC,Airbus,A300,2 x GE CF6-50C2,13/04/1982
N506TA,Airbus,A300,2 x GE CF6-50C2,20/08/1982
N821SC,Airbus,A300,2 x GE CF6-50C2,15/09/1982
N504TA,Airbus,A300,2 x GE CF6-50C2,18/10/1982
N831JM,Airbus,A300,2 x GE CF6-50C2,05/11/1982
N833JM,Airbus,A300,2 x GE CF6-50C2,18/07/1983
N366DH,Airbus,A300,2 x GE CF6-50C2,23/06/1983
N367DH,Airbus,A300,2 x GE CF6-50C2,10/08/1983
N505TA,Airbus,A300,2 x GE CF6-50C2,01/09/1983
N716FD,Airbus,A300,,05/03/1986
N717FD,Airbus,A300,,05/09/1986
N718FD,Airbus,A300,,25/03/1987
N374FD,Airbus,A300,,02/10/1985
N719FD,Airbus,A300,,05/11/1986
N720FD,Airbus,A300,,01/06/1987
N14053,Airbus,A300,2 x GE CF6-80C2A5,09/12/1987
N91050,Airbus,A300,2 x GE CF6-80C2A5,10/02/1988
N50051,Airbus,A300,2 x GE CF6-80C2A5,04/03/1988
N80052,Airbus,A300,2 x GE CF6-80C2A5,22/03/1988
N70054,Airbus,A300,2 x GE CF6-80C2A5,15/04/1988
N7055A,Airbus,A300,2 x GE CF6-80C2A5,18/03/1988
N14056,Airbus,A300,2 x GE CF6-80C2A5,25/04/1988
N80057,Airbus,A300,2 x GE CF6-80C2A5,24/05/1988
N80058,Airbus,A300,2 x GE CF6-80C2A5,23/06/1988
N19059,Airbus,A300,2 x GE CF6-80C2A5,17/06/1988
N11060,Airbus,A300,2 x GE CF6-80C2A5,07/07/1988
N14061,Airbus,A300,2 x GE CF6-80C2A5,23/08/1988
N7062A,Airbus,A300,2 x GE CF6-80C2A5,08/09/1988
N721FD,Airbus,A300,2 x PW PW4158,03/10/1988
N722FD,Airbus,A300,2 x PW PW4158,20/09/1988
N41063,Airbus,A300,2 x GE CF6-80C2A5,16/11/1988
N40064,Airbus,A300,2 x GE CF6-80C2A5,23/11/1988
N14065,Airbus,A300,2 x GE CF6-80C2A5,06/12/1988
N18066,Airbus,A300,2 x GE CF6-80C2A5,22/12/1988
N8067A,Airbus,A300,2 x GE CF6-80C2A5,12/01/1989
N14068,Airbus,A300,2 x GE CF6-80C2A5,24/01/1989
N33069,Airbus,A300,2 x GE CF6-80C2A5,10/02/1989
N90070,Airbus,A300,2 x GE CF6-80C2A5,01/03/1989
N25071,Airbus,A300,2 x GE CF6-80C2A5,13/03/1989
N70072,Airbus,A300,2 x GE CF6-80C2A5,21/03/1989
N70073,Airbus,A300,2 x GE CF6-80C2A5,10/04/1989
N70074,Airbus,A300,2 x GE CF6-80C2A5,03/05/1989
N724FD,Airbus,A300,2 x PW PW4158,25/07/1989
N749FD,Airbus,A300,2 x PW PW4158,11/10/1989
N723FD,Airbus,A300,2 x PW PW4158,09/11/1989
N750FD,Airbus,A300,2 x PW PW4158,12/01/1990
N740FD,Airbus,A300,2 x PW PW4158,12/04/1990
N725FD,Airbus,A300,2 x PW PW4158,13/09/1990
N726FD,Airbus,A300,2 x PW PW4158,19/09/1990
N727FD,Airbus,A300,2 x PW PW4158,25/10/1990
N728FD,Airbus,A300,2 x PW PW4158,16/11/1990
N3075A,Airbus,A300,2 x GE CF6-80C2A5,08/03/1991
N7076A,Airbus,A300,2 x PW PW4158,06/05/1991
N741FD,Airbus,A300,2 x PW PW4158,24/05/1991
N14077,Airbus,A300,2 x GE CF6-80C2A5,05/06/1991
N742FD,Airbus,A300,2 x PW PW4158,14/06/1991
N34078,Airbus,A300,2 x GE CF6-80C2A5,08/07/1991
N70079,Airbus,A300,2 x GE CF6-80C2A5,18/09/1991
N751FD,Airbus,A300,2 x PW PW4158,18/11/1991
N743FD,Airbus,A300,2 x PW PW4158,12/02/1992
N748FD,Airbus,A300,2 x PW PW4158,01/04/1992
N59081,Airbus,A300,2 x GE CF6-80C2A5,05/05/1992
N7083A,Airbus,A300,2 x GE CF6-80C2A5,17/06/1992
N729FD,Airbus,A300,2 x PW PW4158,22/07/1992
N730FD,Airbus,A300,2 x PW PW4158,27/07/1992
N744FD,Airbus,A300,2 x PW PW4158,10/09/1992
N745FD,Airbus,A300,2 x PW PW4158,27/10/1992
N80084,Airbus,A300,2 x GE CF6-80C2A5,25/11/1992
N746FD,Airbus,A300,2 x PW PW4158,11/02/1993
N731FD,Airbus,A300,2 x GE CF6-80C2A5,02/09/1993
N732FD,Airbus,A300,2 x GE CF6-80C2A5,07/10/1993
N733FD,Airbus,A300,2 x GE CF6-80C2A5,07/10/1993
N650FE,Airbus,A300,2 x GE CF6-80C2A5,02/12/1993
N651FE,Airbus,A300,2 x GE CF6-80C2A5,28/01/1994
N652FE,Airbus,A300,2 x GE CF6-80C2A5,25/03/1994
N653FE,Airbus,A300,2 x GE CF6-80C2A5,10/05/1994
N654FE,Airbus,A300,2 x GE CF6-80C2A5,29/06/1994
N655FE,Airbus,A300,2 x GE CF6-80C2A5,15/09/1994
N656FE,Airbus,A300,2 x GE CF6-80C2A5,09/11/1994
N657FE,Airbus,A300,2 x GE CF6-80C2A5,03/01/1995
N658FE,Airbus,A300,2 x GE CF6-80C2A5,30/01/1995
N659FE,Airbus,A300,2 x GE CF6-80C2A5,23/05/1995
N660FE,Airbus,A300,2 x GE CF6-80C2A5,04/07/1995
N661FE,Airbus,A300,2 x GE CF6-80C2A5,24/08/1995
N662FE,Airbus,A300,2 x GE CF6-80C2A5,01/08/1996
N663FE,Airbus,A300,2 x GE CF6-80C2A5,14/09/1995
N664FE,Airbus,A300,2 x GE CF6-80C2A5,16/11/1995
N665FE,Airbus,A300,2 x GE CF6-80C2A5,21/12/1995
N667FE,Airbus,A300,2 x GE CF6-80C2A5,01/07/1996
N668FE,Airbus,A300,2 x GE CF6-80C2A5,01/03/1996
N669FE,Airbus,A300,2 x GE CF6-80C2A5,11/04/1996
N670FE,Airbus,A300,2 x GE CF6-80C2A5,11/04/1997
N671FE,Airbus,A300,2 x GE CF6-80C2A5,06/05/1997
N672FE,Airbus,A300,2 x GE CF6-80C2A5,05/06/1997
N673FE,Airbus,A300,2 x GE CF6-80C2A5,10/07/1997
N674FE,Airbus,A300,2 x GE CF6-80C2A5,12/08/1997
N675FE,Airbus,A300,2 x GE CF6-80C2A5,11/05/1998
N676FE,Airbus,A300,2 x GE CF6-80C2A5,12/06/1998
N677FE,Airbus,A300,2 x GE CF6-80C2A5,17/07/1998
N678FE,Airbus,A300,2 x GE CF6-80C2A5,13/08/1998
N679FE,Airbus,A300,2 x GE CF6-80C2A5,16/09/1998
N680FE,Airbus,A300,2 x GE CF6-80C2A5,05/10/1998
N681FE,Airbus,A300,2 x GE CF6-80C2A5,30/03/1999
N682FE,Airbus,A300,2 x GE CF6-80C2A5,22/04/1999
N683FE,Airbus,A300,2 x GE CF6-80C2A5,01/06/1999
N684FE,Airbus,A300,2 x GE CF6-80C2A5,01/07/1999
N685FE,Airbus,A300,2 x GE CF6-80C2A5,01/07/1999
N686FE,Airbus,A300,2 x GE CF6-80C2A5,01/09/1999
N120UP,Airbus,A300,2 x PW PW4158,01/02/2000
N121UP,Airbus,A300,2 x PW PW4158,06/05/2000
N122UP,Airbus,A300,2 x PW PW4158,19/05/2000
N124UP,Airbus,A300,2 x PW PW4158,20/07/2000
N125UP,Airbus,A300,2 x PW PW4158,30/08/2000
N126UP,Airbus,A300,2 x PW PW4158,05/10/2000
N127UP,Airbus,A300,2 x PW PW4158,25/10/2000
N128UP,Airbus,A300,2 x PW PW4158,20/12/2000
N129UP,Airbus,A300,2 x PW PW4158,18/01/2001
N130UP,Airbus,A300,2 x PW PW4158,15/02/2001
N131UP,Airbus,A300,2 x PW PW4158,15/03/2001
N133UP,Airbus,A300,2 x PW PW4158,06/04/2001
N134UP,Airbus,A300,2 x PW PW4158,26/04/2001
N135UP,Airbus,A300,2 x PW PW4158,30/05/2001
N136UP,Airbus,A300,2 x PW PW4158,19/06/2001
N137UP,Airbus,A300,2 x PW PW4158,09/07/2001
N138UP,Airbus,A300,2 x PW PW4158,20/07/2001
N139UP,Airbus,A300,2 x PW PW4158,03/09/2001
N140UP,Airbus,A300,2 x PW PW4158,16/10/2001
N141UP,Airbus,A300,2 x PW PW4158,08/11/2001
N142UP,Airbus,A300,2 x PW PW4158,30/11/2001
N143UP,Airbus,A300,2 x PW PW4158,17/01/2002
N144UP,Airbus,A300,2 x PW PW4158,14/02/2002
N145UP,Airbus,A300,2 x PW PW4158,13/03/2002
N146UP,Airbus,A300,2 x PW PW4158,09/08/2002
N147UP,Airbus,A300,2 x PW PW4158,17/10/2002
N148UP,Airbus,A300,2 x PW PW4158,13/12/2002
N149UP,Airbus,A300,2 x PW PW4158,20/12/2002
N150UP,Airbus,A300,2 x PW PW4158,13/02/2003
N151UP,Airbus,A300,2 x PW PW4158,11/04/2003
N152UP,Airbus,A300,2 x PW PW4158,07/04/2003
N153UP,Airbus,A300,2 x PW PW4158,20/06/2003
N154UP,Airbus,A300,2 x PW PW4158,04/11/2003
N155UP,Airbus,A300,2 x PW PW4158,03/11/2003
N156UP,Airbus,A300,2 x PW PW4158,01/12/2003
N157UP,Airbus,A300,2 x PW PW4158,19/02/2004
N158UP,Airbus,A300,2 x PW PW4158,22/01/2004
N159UP,Airbus,A300,2 x PW PW4158,30/04/2004
N160UP,Airbus,A300,2 x PW PW4158,02/06/2004
N161UP,Airbus,A300,2 x PW PW4158,18/03/2010
N162UP,Airbus,A300,2 x PW PW4158,25/11/2004
N163UP,Airbus,A300,2 x PW PW4158,20/12/2004
N164UP,Airbus,A300,2 x PW PW4158,20/01/2005
N165UP,Airbus,A300,2 x PW PW4158,03/03/2005
N166UP,Airbus,A300,2 x PW PW4158,06/04/2005
N167UP,Airbus,A300,2 x PW PW4158,01/06/2005
N168UP,Airbus,A300,2 x PW PW4158,30/06/2005
N169UP,Airbus,A300,2 x PW PW4158,21/09/2005
N170UP,Airbus,A300,2 x PW PW4158,29/11/2005
N171UP,Airbus,A300,2 x PW PW4158,10/11/2005
N172UP,Airbus,A300,2 x PW PW4158,05/01/2006
N173UP,Airbus,A300,2 x PW PW4158,28/02/2006
N174UP,Airbus,A300,2 x PW PW4158,02/06/2006
N687FE,Airbus,A300,2 x GE CF6-80C2A5,30/10/2006
N688FE,Airbus,A300,2 x GE CF6-80C2A5,01/12/2006
N689FE,Airbus,A300,2 x GE CF6-80C2A5,11/01/2007
N690FE,Airbus,A300,2 x GE CF6-80C2A5,12/02/2007
N691FE,Airbus,A300,2 x GE CF6-80C2A5,27/03/2007
N692FE,Airbus,A300,2 x GE CF6-80C2A5,18/04/2007
N450FE,Airbus,A310,,03/04/1982
N401FE,Airbus,A310,2 x GE CF6-80A3,05/08/1982
N402FE,Airbus,A310,2 x GE CF6-80A3,20/10/1982
N449FE,Airbus,A310,2 x PW JT9D-7R4E1,01/12/1982
N446FE,Airbus,A310,,05/01/1983
N403FE,Airbus,A310,2 x GE CF6-80A3,27/01/1983
N404FE,Airbus,A310,2 x GE CF6-80A3,07/02/1983
N405FE,Airbus,A310,2 x GE CF6-80A3,22/02/1983
N424FE,Airbus,A310,2 x GE CF6-80A3,08/03/1983
N426FE,Airbus,A310,2 x GE CF6-80A3,04/05/1983
N428FE,Airbus,A310,2 x GE CF6-80A3,12/04/1983
N447FE,Airbus,A310,,20/04/1983
N407FE,Airbus,A310,2 x GE CF6-80A3,27/04/1983
N408FE,Airbus,A310,2 x GE CF6-80A3,25/05/1983
N448FE,Airbus,A310,,27/06/1983
N425FE,Airbus,A310,2 x GE CF6-80A3,04/08/1983
N453FE,Airbus,A310,2 x PW JT9D-7R4E1,29/07/1983
N409FE,Airbus,A310,2 x GE CF6-80A3,13/10/1983
N454FE,Airbus,A310,2 x PW JT9D-7R4E1,30/09/1983
N423FE,Airbus,A310,2 x GE CF6-80A3,13/10/1983
N443FE,Airbus,A310,2 x GE CF6-80A3,24/10/1983
N416FE,Airbus,A310,2 x PW JT9D-7R4E1,21/11/1983
N445FE,Airbus,A310,2 x GE CF6-80A3,21/12/1983
N451FE,Airbus,A310,2 x PW JT9D-7R4E1,10/01/1984
N452FE,Airbus,A310,2 x PW JT9D-7R4E1,23/02/1984
N431FE,Airbus,A310,2 x GE CF6-80A3,10/03/1984
N456FE,Airbus,A310,2 x PW JT9D-7R4E1,16/03/1984
N432FE,Airbus,A310,2 x GE CF6-80A3,30/03/1984
N455FE,Airbus,A310,2 x PW JT9D-7R4E1,11/04/1984
N417FE,Airbus,A310,,15/02/1985
N433FE,Airbus,A310,,15/05/1984
N420FE,Airbus,A310,2 x PW JT9D-7R4E1,11/07/1984
N421FE,Airbus,A310,2 x PW JT9D-7R4E1,28/04/1984
N418FE,Airbus,A310,,27/02/1985
N419FE,Airbus,A310,,21/03/1985
N422FE,Airbus,A310,2 x PW JT9D-7R4E1,20/09/1984
N415FE,Airbus,A310,2 x GE CF6-80A3,03/10/1984
N442FE,Airbus,A310,2 x GE CF6-80A3,26/10/1984
N434FE,Airbus,A310,2 x GE CF6-80A3,13/11/1984
N410FE,Airbus,A310,2 x GE CF6-80A3,21/11/1984
N411FE,Airbus,A310,2 x GE CF6-80A3,14/12/1984
N412FE,Airbus,A310,2 x GE CF6-80A3,26/12/1984
N427FE,Airbus,A310,2 x GE CF6-80A3,04/01/1985
N429FE,Airbus,A310,2 x GE CF6-80A3,07/02/1985
N435FE,Airbus,A310,2 x GE CF6-80A3,01/03/1985
N803FD,Airbus,A310,2 x PW PW4152,08/07/1985
N430FE,Airbus,A310,2 x GE CF6-80A3,10/07/1985
N413FE,Airbus,A310,2 x GE CF6-80A3,14/08/1985
N414FE,Airbus,A310,2 x GE CF6-80A3,05/11/1985
N808FD,Airbus,A310,2 x GE CF6-80C2A2,21/06/1987
N809FD,Airbus,A310,2 x PW PW4152,07/05/1987
N810FD,Airbus,A310,2 x PW PW4152,21/07/1987
N436FE,Airbus,A310,2 x GE CF6-80A3,15/01/1988
N805FD,Airbus,A310,2 x PW PW4152,04/03/1988
N811FD,Airbus,A310,2 x PW PW4152,25/03/1988
N806FD,Airbus,A310,2 x PW PW4152,21/04/1988
N812FD,Airbus,A310,2 x PW PW4156A,18/05/1988
N807FD,Airbus,A310,2 x GE CF6-80C2A2,25/11/1988
N813FD,Airbus,A310,2 x PW PW4152,29/03/1989
N528FD,Airbus,A310,2 x GE CF6-80C2A2,25/10/1989
N814FD,Airbus,A310,2 x PW PW4152,01/12/1989
N801FD,Airbus,A310,2 x PW PW4156A,10/04/1990
N802FD,Airbus,A310,2 x PW PW4156A,25/04/1990
N804FD,Airbus,A310,2 x PW PW4156A,07/09/1990
N817FD,Airbus,A310,2 x GE CF6-80C2A8,19/10/1990
N68096,Airbus,A310,2 x PW PW4156A,15/05/1991
N816FD,Airbus,A310,2 x GE CF6-80C2A8,02/08/1991
N266BA,Airbus,A310,2 x PW PW4156A,18/12/1991
N815FD,Airbus,A310,2 x PW PW4152,27/01/1992
N819FD,Airbus,A310,2 x PW PW4156A,01/02/1993
N805FR,Airbus,A318,2 x CFMI CFM56-5B8/P,03/06/2002
N801FR,Airbus,A318,2 x CFMI CFM56-5B8/P,22/05/2003
N802FR,Airbus,A318,2 x CFMI CFM56-5B8/P,14/07/2003
N803FR,Airbus,A318,2 x CFMI CFM56-5B8/P,21/08/2003
N804FR,Airbus,A318,2 x CFMI CFM56-5B8/P,23/09/2003
N806FR,Airbus,A318,2 x CFMI CFM56-5B8/P,26/04/2004
N807FR,Airbus,A318,2 x CFMI CFM56-5B8/P,18/08/2004
N590EL,Airbus,A318,2 x CFMI CFM56-5B8/P,15/10/2004
N591EL,Airbus,A318,2 x CFMI CFM56-5B8/P,21/10/2004
N592EL,Airbus,A318,2 x CFMI CFM56-5B8/P,19/11/2004
N593EL,Airbus,A318,2 x CFMI CFM56-5B8/P,02/12/2004
N594EL,Airbus,A318,2 x CFMI CFM56-5B8/P,22/12/2004
N595EL,Airbus,A318,2 x CFMI CFM56-5B8/P,19/01/2005
N596EL,Airbus,A318,2 x CFMI CFM56-5B8/P,29/06/2005
N597EL,Airbus,A318,2 x CFMI CFM56-5B8/P,03/08/2005
N598EL,Airbus,A318,2 x CFMI CFM56-5B8/P,24/08/2005
N589AV,Airbus,A318,2 x CFMI CFM56-5B8/P,28/09/2005
N808FR,Airbus,A318,2 x CFMI CFM56-5B8/P,14/02/2007
N809FR,Airbus,A318,2 x CFMI CFM56-5B8/P,30/03/2007
N810FR,Airbus,A318,2 x CFMI CFM56-5B8/P,24/04/2007
N812FR,Airbus,A318,2 x CFMI CFM56-5B8/P,01/06/2007
N801UA,Airbus,A319,2 x IAE V2522-A5,16/06/1997
N802UA,Airbus,A319,2 x IAE V2522-A5,20/06/1997
N803UA,Airbus,A319,2 x IAE V2522-A5,03/11/1997
N804UA,Airbus,A319,2 x IAE V2522-A5,28/11/1997
N805UA,Airbus,A319,2 x IAE V2522-A5,06/02/1998
N806UA,Airbus,A319,2 x IAE V2522-A5,16/02/1998
N807UA,Airbus,A319,2 x IAE V2522-A5,07/03/1998
N808UA,Airbus,A319,2 x IAE V2522-A5,16/03/1998
N809UA,Airbus,A319,2 x IAE V2522-A5,06/05/1998
N810UA,Airbus,A319,2 x IAE V2522-A5,03/06/1998
N811UA,Airbus,A319,2 x IAE V2522-A5,10/06/1998
N812UA,Airbus,A319,2 x IAE V2522-A5,19/06/1998
N813UA,Airbus,A319,2 x IAE V2522-A5,02/07/1998
N814UA,Airbus,A319,2 x IAE V2522-A5,14/07/1998
N815UA,Airbus,A319,2 x IAE V2522-A5,22/07/1998
N816UA,Airbus,A319,2 x IAE V2522-A5,06/08/1998
N817UA,Airbus,A319,2 x IAE V2522-A5,11/08/1998
N818UA,Airbus,A319,2 x IAE V2522-A5,26/08/1998
N700UW,Airbus,A319,2 x CFMI CFM56-5B6/P,22/09/1998
N801AW,Airbus,A319,2 x IAE V2524-A5,25/09/1998
N701UW,Airbus,A319,2 x CFMI CFM56-5B6/P,08/10/1998
N819UA,Airbus,A319,2 x IAE V2522-A5,17/10/1998
N702UW,Airbus,A319,2 x CFMI CFM56-5B6/P,17/10/1998
N820UA,Airbus,A319,2 x IAE V2522-A5,16/10/1998
N703UW,Airbus,A319,2 x CFMI CFM56-5B6/P,09/10/1998
N704US,Airbus,A319,2 x CFMI CFM56-5B6/P,03/12/1998
N802AW,Airbus,A319,2 x IAE V2524-A5,13/11/1998
N705UW,Airbus,A319,2 x CFMI CFM56-5B6/P,09/12/1998
N803AW,Airbus,A319,2 x IAE V2524-A5,26/11/1998
N821UA,Airbus,A319,2 x IAE V2522-A5,21/12/1998
N822UA,Airbus,A319,2 x IAE V2522-A5,15/01/1999
N823UA,Airbus,A319,2 x IAE V2522-A5,14/01/1999
N824UA,Airbus,A319,2 x IAE V2522-A5,09/02/1999
N708UW,Airbus,A319,2 x CFMI CFM56-5B6/P,22/02/1999
N825UA,Airbus,A319,2 x IAE V2522-A5,04/03/1999
N826UA,Airbus,A319,2 x IAE V2522-A5,17/03/1999
N709UW,Airbus,A319,2 x CFMI CFM56-5B6/P,12/03/1999
N710UW,Airbus,A319,2 x CFMI CFM56-5B6/P,03/05/1999
N827UA,Airbus,A319,2 x IAE V2522-A5,17/05/1999
N828UA,Airbus,A319,2 x IAE V2522-A5,03/06/1999
N711UW,Airbus,A319,2 x CFMI CFM56-5B6/P,08/06/1999
N712US,Airbus,A319,2 x CFMI CFM56-5B6/P,03/06/1999
N713UW,Airbus,A319,2 x CFMI CFM56-5B6/P,17/06/1999
N804AW,Airbus,A319,2 x IAE V2524-A5,09/07/1999
N714US,Airbus,A319,2 x CFMI CFM56-5B6/P,06/07/1999
N805AW,Airbus,A319,2 x IAE V2524-A5,21/07/1999
N715UW,Airbus,A319,2 x CFMI CFM56-5B6/P,29/06/1999
N716UW,Airbus,A319,2 x CFMI CFM56-5B6/P,30/06/1999
N806AW,Airbus,A319,2 x IAE V2524-A5,05/07/1999
N301NB,Airbus,A319,2 x CFMI CFM56-5A5,20/07/1999
N302NB,Airbus,A319,2 x CFMI CFM56-5A5,28/07/1999
N807AW,Airbus,A319,2 x IAE V2524-A5,14/07/1999
N471TA,Airbus,A319,2 x IAE V2524-A5,23/07/1999
N717UW,Airbus,A319,2 x CFMI CFM56-5B6/P,03/08/1999
N808AW,Airbus,A319,2 x IAE V2524-A5,02/09/1999
N721UW,Airbus,A319,2 x CFMI CFM56-5B6/P,20/09/1999
N722US,Airbus,A319,2 x CFMI CFM56-5B6/P,23/09/1999
N723UW,Airbus,A319,2 x CFMI CFM56-5B6/P,11/10/1999
N809AW,Airbus,A319,2 x IAE V2524-A5,22/10/1999
N472TA,Airbus,A319,2 x IAE V2524-A5,21/10/1999
N810AW,Airbus,A319,2 x IAE V2524-A5,19/10/1999
N724UW,Airbus,A319,2 x CFMI CFM56-5B6/P,25/10/1999
N725UW,Airbus,A319,2 x CFMI CFM56-5B6/P,11/11/1999
N812AW,Airbus,A319,2 x IAE V2524-A5,21/02/2000
N730US,Airbus,A319,2 x CFMI CFM56-5B6/P,16/02/2000
N313NB,Airbus,A319,2 x CFMI CFM56-5A5,29/02/2000
N314NB,Airbus,A319,2 x CFMI CFM56-5A5,25/02/2000
N732US,Airbus,A319,2 x CFMI CFM56-5B6/P,14/03/2000
N733UW,Airbus,A319,2 x CFMI CFM56-5B6/P,29/03/2000
N829UA,Airbus,A319,2 x IAE V2522-A5,12/04/2000
N813AW,Airbus,A319,2 x IAE V2524-A5,13/04/2000
N315NB,Airbus,A319,2 x CFMI CFM56-5A5,27/04/2000
N830UA,Airbus,A319,2 x IAE V2522-A5,16/05/2000
N737US,Airbus,A319,2 x CFMI CFM56-5B6/P,20/05/2000
N316NB,Airbus,A319,2 x CFMI CFM56-5A5,05/06/2000
N738US,Airbus,A319,2 x CFMI CFM56-5B6/P,29/05/2000
N740UW,Airbus,A319,2 x CFMI CFM56-5B6/P,27/06/2000
N741UW,Airbus,A319,2 x CFMI CFM56-5B6/P,21/06/2000
N742PS,Airbus,A319,2 x CFMI CFM56-5B6/P,06/07/2000
N814AW,Airbus,A319,2 x IAE V2524-A5,15/07/2000
N744P,Airbus,A319,2 x CFMI CFM56-5B6/P,12/07/2000
N745VJ,Airbus,A319,2 x CFMI CFM56-5B6/P,25/07/2000
N831UA,Airbus,A319,2 x IAE V2522-A5,27/07/2000
N746UW,Airbus,A319,2 x CFMI CFM56-5B6/P,22/07/2000
N747UW,Airbus,A319,2 x CFMI CFM56-5B6/P,01/08/2000
N748UW,Airbus,A319,2 x CFMI CFM56-5B6/P,28/08/2000
N749US,Airbus,A319,2 x CFMI CFM56-5B6/P,23/08/2000
N750UW,Airbus,A319,2 x CFMI CFM56-5B6/P,02/09/2000
N751UW,Airbus,A319,2 x CFMI CFM56-5B6/P,05/09/2000
N752US,Airbus,A319,2 x CFMI CFM56-5B6/P,12/09/2000
N832UA,Airbus,A319,2 x IAE V2522-A5,30/08/2000
N815AW,Airbus,A319,2 x IAE V2524-A5,01/09/2000
N317NB,Airbus,A319,2 x CFMI CFM56-5A5,06/09/2000
N318NB,Airbus,A319,2 x CFMI CFM56-5A5,06/09/2000
N753US,Airbus,A319,2 x CFMI CFM56-5B6/P,11/09/2000
N754UW,Airbus,A319,2 x CFMI CFM56-5B6/P,12/09/2000
N755US,Airbus,A319,2 x CFMI CFM56-5B6/P,15/09/2000
N756US,Airbus,A319,2 x CFMI CFM56-5B6/P,06/10/2000
N757UW,Airbus,A319,2 x CFMI CFM56-5B6/P,30/09/2000
N319NB,Airbus,A319,2 x CFMI CFM56-5A5,16/10/2000
N758US,Airbus,A319,2 x CFMI CFM56-5B6/P,09/10/2000
N816AW,Airbus,A319,2 x IAE V2524-A5,21/10/2000
